Date,TNX,DJI,SPX,VIX,QQQ,AAPL
"Apr 21, 2026",4.3060,49230.7100,7165.0700,18.7100,663.8800,271.0600
"Apr 14, 2026",4.2480,49447.4400,7126.0500,17.4800,648.8500,270.2300
"Apr 07, 2026",4.2770,47916.5700,6816.8900,19.2300,611.0700,260.4800
"Mar 31, 2026",4.3130,46504.6700,6582.6900,23.8700,584.9800,255.9200
"Mar 24, 2026",4.4400,45166.6400,6368.8500,31.0500,562.5800,248.8000
"Mar 17, 2026",4.3910,45577.4700,6506.4800,26.7800,582.0600,247.9900
"Mar 10, 2026",4.2850,46558.4700,6632.1900,27.1900,593.7200,250.1200
"Mar 03, 2026",4.1330,47501.5500,6740.0200,29.4900,599.7500,257.4600
"Feb 24, 2026",3.9620,48977.9200,6878.8800,19.8600,607.2900,264.1800
"Feb 17, 2026",4.0860,49625.9700,6909.5100,19.0900,608.8100,264.5800
"Feb 10, 2026",4.0560,49500.9300,6836.1700,20.6000,601.9200,255.7800
"Feb 03, 2026",4.2060,50115.6700,6932.3000,20.3700,609.6500,278.1200
"Jan 27, 2026",4.2410,48892.4700,6939.0300,17.4400,621.8700,259.4800
"Jan 20, 2026",4.2390,49098.7100,6915.6100,16.0900,622.7200,248.0400
"Jan 13, 2026",4.2310,49359.3300,6940.0100,15.8600,621.2600,255.5300
"Dec 16, 2025",4.1510,48134.8900,6834.5000,14.9100,617.0500,273.6700
"Dec 09, 2025",4.1940,48458.0500,6827.4100,15.7400,613.6200,278.2800
"Dec 02, 2025",4.1390,47954.9900,6870.4000,15.4100,625.4800,278.7800
"Nov 25, 2025",4.0170,47716.4200,6849.0900,16.3500,619.2500,278.8500
"Nov 18, 2025",4.0630,46245.4100,6602.9900,23.4300,590.0700,271.4900
"Nov 11, 2025",4.1480,47147.4800,6734.1100,19.8300,608.8600,272.4100
"Nov 04, 2025",4.0930,46987.1000,6728.8000,19.0800,609.7400,268.4700
"Oct 28, 2025",4.1010,47562.8700,6840.2000,17.4400,629.0700,270.3700
"Oct 21, 2025",3.9970,47207.1200,6791.6900,16.3700,617.1000,262.8200
"Oct 14, 2025",4.0070,46190.6100,6664.0100,20.7800,603.9300,252.2900
"Oct 07, 2025",4.0510,45479.6000,6552.5100,21.6600,589.5000,245.2700
"Sep 30, 2025",4.1190,46758.2800,6715.7900,16.6500,603.1800,258.0200
"Sep 23, 2025",4.1870,46247.2900,6643.7000,15.2900,595.9700,255.4600
"Sep 16, 2025",4.1390,46315.2700,6664.3600,15.4500,599.3500,245.5000
"Sep 09, 2025",4.0610,45834.2200,6584.2900,14.7600,586.6600,234.0700
"Sep 02, 2025",4.0860,45400.8600,6481.5000,15.1800,576.0600,239.6900
"Aug 26, 2025",4.2270,45544.8800,6460.2600,15.3600,570.4000,232.1400
"Aug 19, 2025",4.2600,45631.7400,6466.9100,14.2200,571.9700,227.7600
"Aug 12, 2025",4.3280,44946.1200,6449.8000,15.0900,577.3400,231.5900
"Aug 05, 2025",4.2850,44175.6100,6389.4500,15.1500,574.5500,229.3500
"Jul 29, 2025",4.2200,43588.5800,6238.0100,20.3800,553.8800,202.3800
