Date,TNX,DJI,SPX,VIX,QQQ,AAPL
"Apr 21, 2026",4.32,48943,7077,18.85,646.00,268.00
"Apr 14, 2026",4.29,48773,7007,19.00,637.00,259.10
"Apr 07, 2026",4.31,46373,6597,25.50,587.30,254.20
"Mar 31, 2026",4.33,45751,6472,27.60,569.3,250.50
"Mar 24, 2026",4.32,45632,6525,25.15,580.6,250.5
"Mar 17, 2026",4.27,46511,6885,23.00,601.0,244.0
"Mar 10, 2026",4.11,47813,6791,25.00,606.9,257.4
"Mar 03, 2026",4.00,48488,6809,22.70,597.70,263.00
"Feb 24, 2026",4.05,49483,6913,18.75,615.40,274.30
"Feb 17, 2026",4.01,46485,6790,21.52,595.8,267.2
"Feb 10, 2026",4.13,50715,6939,18.37,606.4,274.3
"Feb 03, 2026",4.24,49322,6916,16.67,615.5,271.0
"Jan 27, 2026",4.23,49340,7005,15.91,637.50,261.3
"Jan 20, 2026",4.25,48858,6814,18.77,603.5,245.1
"Jan 13, 2026",4.17,49395,6987,15.91,627.5,262.5
"Dec 16, 2025",4.15,48310,6821,16.40,615.00,274.3
"Dec 09, 2025",4.20,47762,6864.8,17.1,627.7,279.99
"Dec 02, 2025",4.080,47724,6868,16.70,625.3,287.5
"Nov 25, 2025",4.01,47243,6788,18.52,610.7,287.5
"Nov 18, 2025",4.15,45341,6573,25.66,588.5,265.2
"Nov 11, 2025",4.11,47990,6858,17.85,624.30,277.4
"Nov 04, 2025",4.09,47298,6811,18.5,623.3,271.8
"Oct 28, 2025",3.98,47815,6898,16.50,636.9,270.2
"Oct 21, 2025",3.95,47060,6765,17.25,615.3,265.8
"Oct 14, 2025",4.01,46425,6676,20.66,603.7,248.2
"Oct 07, 2025",4.12,46880,6742,17.30,608.1,257.8
"Sep 30, 2025",4.15,46480,6690,16.50,600.5,254.9
"Sep 23, 2025",4.11,46575,6705,16.20,601.8,256.0
"Sep 16, 2025",4.02,46005,6649,15.63,594.80,239.15
"Sep 09, 2025",4.06,45800,6545,15.40,584.6,235.2
"Sep 02, 2025",4.27,45518,6442,17.20,570.1,230.2
"Aug 26, 2025",4.27,45470,6476,14.9,575,230.1
"Aug 19, 2025",4.30,45010,6433,15.6,576,231.1
"Aug 12, 2025",4.27,44580,6482,15.0,583.2,231.0
"Aug 05, 2025",4.18,44055,6305,17.70,562.5,202.6
"Jul 29, 2025",4.34,44712,6375,16.40,569.1,212
