Date,TNX,DJI,SPX,VIX,QQQ,AAPL
"Sep 30, 2025",4.129,46318.89,6661.20,16.59,600.31,254.58
"Oct 07, 2025",4.148,46693.48,6740.29,16.37,604.47,256.48
"Oct 14, 2025",4.047,46068.93,6654.71,19.03,598.08,247.80
"Oct 21, 2025",3.984,46703.66,6735.14,18.23,612.01,262.97
"Oct 28, 2025",3.979,47542.08,6875.15,15.79,632.38,269.11
"Nov 04, 2025",4.085,47336.33,6851.98,19.65,619.21,270.12
"Nov 11, 2025",4.120,47367.73,6832.42,17.92,621.52,275.30
"Nov 18, 2025",4.104,46593.13,6672.42,23.28,590.15,271.50
"Nov 25, 2025",4.038,46446.94,6705.11,20.63,608.88,276.90
"Dec 02, 2025",4.092,47289.01,6812.62,17.24,622.04,285.97
"Dec 09, 2025",4.178,47747.82,6846.50,16.69,625.11,277.25
"Dec 16, 2025",4.165,48416.61,6816.52,16.50,611.82,274.49
"Jan 13, 2026",4.197,49587.48,6977.26,15.35,626.14,261.07
"Jan 20, 2026",4.295,49358.18,6940.00,20.30,608.01,246.88
"Jan 27, 2026",4.227,49406.61,6955.55,16.15,632.04,258.27
"Feb 03, 2026",4.281,49406.65,6976.45,16.34,616.46,269.46
"Feb 10, 2026",4.184,50128.56,6964.81,17.36,611.78,273.81
"Feb 17, 2026",4.022,49499.41,6836.18,20.60,601.21,263.80
"Feb 24, 2026",4.044,48818.85,6837.74,21.01,607.84,272.19
"Mar 03, 2026",4.056,48895.63,6881.63,21.44,601.72,263.71
"Mar 10, 2026",4.100,47742.46,6795.98,25.50,607.65,260.76
"Mar 17, 2026",4.245,46949.80,6699.37,23.51,603.38,254.19
"Mar 24, 2026",4.382,46214.31,6580.99,26.15,583.88,251.76
"Mar 31, 2026",4.289,46339.26,6528.53,25.25,577.22,253.76
