Date,TNX,DJI,SPX,VIX,QQQ,AAPL
"Apr 07, 2026",4.32,46412,6603,25.20,586.60,255.30
"Mar 31, 2026",4.34,45803,6458,28.50,571.5,251.00
"Mar 24, 2026",4.33,45703,6537,25.55,581.8,251.0
"Mar 17, 2026",4.25,46123,6880,23.75,599.6,248.0
"Mar 10, 2026",4.10,47850,6796,25.10,607.4,258.6
"Mar 03, 2026",3.99,48499,6801,22.90,599.00,262.20
"Feb 24, 2026",4.02,49515,6907,18.40,613.30,273.20
"Feb 17, 2026",4.00,49450,6803,21.18,597.3,266.4
"Feb 10, 2026",4.12,50650,6930,18.12,608.5,274.7
"Feb 03, 2026",4.23,49286,6913,16.42,615.0,270.3
"Jan 27, 2026",4.23,49305,7000,15.61,635.30,261.0
"Jan 20, 2026",4.24,48824,6811,19.00,604.7,244.0
"Jan 13, 2026",4.17,49374,6985,15.61,627.1,261.7
"Dec 16, 2025",4.15,48299,6817,16.00,615.30,275.1
"Dec 09, 2025",4.178,47747.82,6846.50,16.69,625.11,277.25
"Dec 02, 2025",4.090,47767,6861,16.41,624.5,287.3
"Nov 25, 2025",4.01,47220,6784,18.24,611.8,278.9
"Nov 18, 2025",4.14,45433,6539,25.11,587.2,265.5
"Nov 11, 2025",4.11,48039,6872,17.67,625.11,278.0
"Nov 04, 2025",4.08,47288,6808,18.4,623.9,272
"Oct 28, 2025",3.99,47845,6903,16.40,635.8,270.9
"Oct 21, 2025",3.96,47027,6775,17.60,614.8,265.1
"Oct 14, 2025",4.02,46400,6671,20.52,601.5,249.4
"Oct 07, 2025",4.12,46850,6750,16.80,609.1,258.3
"Sep 30, 2025",4.14,46520,6701,15.93,602.1,256.2
"Sep 23, 2025",4.12,46550,6700,16.15,602.2,256.8
"Sep 16, 2025",4.03,45980,6645,15.70,594.30,239.20
"Sep 09, 2025",4.07,45787,6533,15.10,584,234.4
"Sep 02, 2025",4.27,45530,6438,17.30,569.5,229.9
"Aug 26, 2025",4.28,45450,6475,15.0,574,230.5
"Aug 19, 2025",4.30,45025,6440,15.7,575,231.2
"Aug 12, 2025",4.27,44565,6480,14.8,582.3,230.9
"Aug 05, 2025",4.19,44135,6315,17.40,561.3,201.8
"Jul 29, 2025",4.35,44693,6370,16.32,569.2,211.6
