Date,Open,High,Low,Close,Adj Close,Volume
"Apr 7, 2026",256.15,256.19,245.70,253.50,253.50,60820961
"Apr 6, 2026",256.51,262.16,256.46,258.86,258.86,29329900
"Apr 2, 2026",254.20,256.13,250.65,255.92,255.92,31289400
"Apr 1, 2026",254.08,256.18,253.33,255.63,255.63,40059400
"Mar 31, 2026",247.91,255.48,247.10,253.79,253.79,48243227
"Mar 30, 2026",250.07,250.87,245.51,246.63,246.63,39446200
"Mar 27, 2026",253.90,255.49,248.07,248.80,248.80,47900000
"Mar 26, 2026",252.12,257.00,250.77,252.89,252.89,41796700
"Mar 25, 2026",254.10,255.00,251.60,252.62,252.62,28476700
"Mar 24, 2026",250.49,254.82,249.55,251.64,251.64,27882961
"Mar 23, 2026",253.97,254.60,250.28,251.49,251.49,40546100
"Mar 20, 2026",247.98,249.20,246.00,247.99,247.99,88331100
"Mar 19, 2026",249.40,251.83,247.30,248.96,248.96,34864100
"Mar 18, 2026",252.63,254.94,249.00,249.94,249.94,35757900
"Mar 17, 2026",253.08,255.13,252.18,254.23,254.23,27556024
"Mar 16, 2026",252.11,253.89,249.88,252.82,252.82,32074200
"Mar 13, 2026",255.48,256.33,249.52,250.12,250.12,36930000
"Mar 12, 2026",258.66,258.95,254.18,255.76,255.76,40794000
"Mar 11, 2026",261.09,262.13,259.55,260.81,260.81,26218900
"Mar 10, 2026",257.70,262.48,256.95,260.83,260.83,26403306
"Mar 9, 2026",255.69,261.15,253.68,259.88,259.88,38218500
"Mar 6, 2026",258.63,258.77,254.37,257.46,257.46,41120000
"Mar 5, 2026",260.79,261.56,257.25,260.29,260.29,49658600
"Mar 4, 2026",264.65,266.15,261.42,262.52,262.52,39803100
"Mar 3, 2026",263.48,265.56,260.13,263.75,263.75,34853681
"Mar 2, 2026",262.41,266.53,260.20,264.72,264.72,41827900
"Feb 27, 2026",272.81,272.81,262.89,264.18,264.18,72366500
"Feb 26, 2026",274.95,276.11,270.80,272.95,272.95,32345100
"Feb 25, 2026",271.78,274.94,271.05,274.23,274.23,33714300
"Feb 24, 2026",267.86,274.89,267.74,272.14,272.14,46167708
"Feb 23, 2026",263.49,269.43,263.38,266.18,266.18,37308200
"Feb 20, 2026",258.97,264.75,258.16,264.58,264.58,42070500
"Feb 19, 2026",262.60,264.48,260.05,260.58,260.58,30845300
"Feb 18, 2026",263.60,266.82,262.45,264.35,264.35,34203300
"Feb 17, 2026",258.05,266.29,255.54,263.88,263.88,57913445
"Feb 13, 2026",262.01,262.23,255.45,255.78,255.78,56229900
