Date,Open,High,Low,Close,Adj Close,Volume
"Feb 24, 2026",48827.80,49295.21,48752.74,49174.50,49174.50,524348620
"Feb 23, 2026",49536.54,49695.61,48731.46,48804.06,48804.06,574610000
"Feb 20, 2026",49323.00,49712.56,49158.28,49625.97,49625.97,574810000
"Feb 19, 2026",49576.22,49606.17,49197.53,49395.16,49395.16,439980000
"Feb 18, 2026",49571.92,49897.31,49469.06,49662.66,49662.66,493390000
"Feb 17, 2026",49525.37,49732.37,49169.84,49533.19,49533.19,558688580
"Feb 13, 2026",49439.58,49743.98,49084.35,49500.93,49500.93,597100000
"Feb 12, 2026",50170.27,50447.01,49420.28,49451.98,49451.98,765340000
"Feb 11, 2026",50243.15,50499.04,49901.61,50121.40,50121.40,569380000
"Feb 10, 2026",50193.49,50512.79,50115.03,50188.14,50188.14,532070632
"Feb 9, 2026",50047.79,50219.40,49837.45,50135.87,50135.87,623640000
"Feb 6, 2026",49032.19,50169.65,49032.19,50115.67,50115.67,775490000
"Feb 5, 2026",49313.04,49340.90,48829.10,48908.72,48908.72,710270000
"Feb 4, 2026",49323.59,49649.86,49112.43,49501.30,49501.30,742920000
"Feb 3, 2026",49358.59,49653.13,48832.78,49240.99,49240.99,740214274
"Feb 2, 2026",48777.77,49484.95,48673.58,49407.66,49407.66,632100000
"Jan 30, 2026",48991.62,49047.68,48459.88,48892.47,48892.47,761990000
"Jan 29, 2026",48938.27,49292.81,48597.22,49071.56,49071.56,693040000
"Jan 28, 2026",49024.68,49150.34,48901.49,49015.60,49015.60,470990000
"Jan 27, 2026",49103.58,49157.80,48862.52,49003.41,49003.41,533786017
"Jan 26, 2026",49137.65,49488.81,49137.65,49412.40,49412.40,454370000
"Jan 23, 2026",49264.54,49265.46,48963.05,49098.71,49098.71,461030000
"Jan 22, 2026",49201.81,49607.29,49201.81,49384.01,49384.01,455130000
"Jan 21, 2026",48546.03,49295.03,48546.03,49077.23,49077.23,600840000
"Jan 20, 2026",49005.01,49005.01,48428.13,48488.47,48488.47,649286583
"Jan 16, 2026",49466.70,49616.70,49246.24,49359.33,49359.33,992970000
"Jan 15, 2026",49201.10,49581.18,49201.10,49442.44,49442.44,541520000
"Jan 14, 2026",49088.25,49195.10,48851.98,49149.63,49149.63,530670000
"Jan 13, 2026",49616.95,49616.95,49056.31,49191.99,49191.99,543353837
"Jan 12, 2026",49499.67,49633.35,49011.31,49590.20,49590.20,516430000
"Jan 9, 2026",49234.81,49571.41,49197.06,49504.07,49504.07,444480000
"Jan 8, 2026",48850.17,49357.74,48792.34,49266.11,49266.11,515070000
"Jan 7, 2026",49512.72,49621.43,48951.99,48996.08,48996.08,506140000
"Jan 6, 2026",48987.36,49509.92,48923.83,49462.08,49462.08,541220000
"Jan 5, 2026",48475.81,49209.95,48449.62,48977.18,48977.18,578580000
"Jan 2, 2026",48105.98,48404.06,47853.04,48382.39,48382.39,465060000
"Dec 31, 2025",48371.52,48394.51,48050.88,48063.29,48063.29,336060000
"Dec 30, 2025",48434.88,48471.70,48297.26,48367.06,48367.06,282570000
"Dec 29, 2025",48636.63,48704.83,48390.91,48461.93,48461.93,321850000
"Dec 26, 2025",48712.47,48782.00,48589.07,48710.97,48710.97,288770000
"Dec 24, 2025",48424.71,48771.32,48386.59,48731.16,48731.16,206740000
"Dec 23, 2025",48320.59,48527.50,48254.31,48442.41,48442.41,418920000
"Dec 22, 2025",48211.88,48457.47,48199.13,48362.68,48362.68,427050000
"Dec 19, 2025",47974.82,48289.63,47974.82,48134.89,48134.89,1227520000
"Dec 18, 2025",48101.18,48365.93,47849.48,47951.85,47951.85,521430000
"Dec 17, 2025",48128.05,48387.33,47856.79,47885.97,47885.97,534260000
"Dec 16, 2025",48380.17,48452.17,47946.25,48114.26,48114.26,459674356
"Dec 15, 2025",48594.36,48679.14,48283.27,48416.56,48416.56,516630000
