Date,Open,High,Low,Close,Adj Close,Volume
"Feb 24, 2026",4.0420,4.0460,4.0270,4.0330,4.0330,-
"Feb 23, 2026",4.0750,4.0750,4.0180,4.0290,4.0290,-
"Feb 20, 2026",4.0600,4.1040,4.0600,4.0860,4.0860,-
"Feb 19, 2026",4.1040,4.1060,4.0650,4.0750,4.0750,-
"Feb 18, 2026",4.0640,4.0880,4.0600,4.0790,4.0790,-
"Feb 17, 2026",4.0310,4.0600,4.0250,4.0520,4.0520,-
"Feb 13, 2026",4.1000,4.1060,4.0460,4.0560,4.0560,-
"Feb 12, 2026",4.1580,4.1690,4.1000,4.1040,4.1040,-
"Feb 11, 2026",4.1330,4.2060,4.1250,4.1720,4.1720,-
"Feb 10, 2026",4.1760,4.1760,4.1350,4.1470,4.1470,-
"Feb 9, 2026",4.2380,4.2380,4.1960,4.1980,4.1980,-
"Feb 6, 2026",4.2040,4.2240,4.1940,4.2060,4.2060,-
"Feb 5, 2026",4.2520,4.2560,4.2040,4.2100,4.2100,-
"Feb 4, 2026",4.2680,4.2900,4.2610,4.2750,4.2750,-
"Feb 3, 2026",4.2900,4.3000,4.2660,4.2740,4.2740,-
"Feb 2, 2026",4.2360,4.2810,4.2310,4.2750,4.2750,-
"Jan 30, 2026",4.2470,4.2610,4.2360,4.2410,4.2410,-
"Jan 29, 2026",4.2470,4.2710,4.2230,4.2270,4.2270,-
"Jan 28, 2026",4.2350,4.2710,4.2350,4.2510,4.2510,-
"Jan 27, 2026",4.2350,4.2390,4.2070,4.2230,4.2230,-
"Jan 26, 2026",4.2130,4.2290,4.2030,4.2130,4.2130,-
"Jan 23, 2026",4.2370,4.2630,4.2330,4.2390,4.2390,-
"Jan 22, 2026",4.2590,4.2770,4.2430,4.2490,4.2490,-
"Jan 21, 2026",4.2810,4.3010,4.2490,4.2530,4.2530,-
"Jan 20, 2026",4.2790,4.3110,4.2690,4.2950,4.2950,-
"Jan 16, 2026",4.1950,4.2330,4.1810,4.2310,4.2310,-
"Jan 15, 2026",4.1380,4.1640,4.1360,4.1600,4.1600,-
"Jan 14, 2026",4.1600,4.1690,4.1320,4.1400,4.1400,-
"Jan 13, 2026",4.1930,4.1950,4.1560,4.1710,4.1710,-
