Date,Open,High,Low,Close,Adj Close,Volume
"Apr 7, 2026",25.09,28.00,24.34,25.92,25.92,-
"Apr 6, 2026",24.93,25.30,23.78,24.17,24.17,-
"Apr 2, 2026",26.78,27.89,23.87,23.87,23.87,-
"Apr 1, 2026",24.30,25.35,23.50,24.54,24.54,-
"Mar 31, 2026",29.53,29.64,25.08,25.25,25.25,-
"Mar 30, 2026",30.79,31.52,29.33,30.61,30.61,-
"Mar 27, 2026",27.54,31.65,27.54,31.05,31.05,-
"Mar 26, 2026",26.49,28.49,26.12,27.44,27.44,-
"Mar 25, 2026",25.79,26.67,24.82,25.33,25.33,-
"Mar 24, 2026",25.91,27.94,25.64,26.95,26.95,-
"Mar 23, 2026",30.04,31.04,20.28,26.15,26.15,-
"Mar 20, 2026",24.46,29.28,23.68,26.78,26.78,-
"Mar 19, 2026",25.60,27.52,23.54,24.06,24.06,-
"Mar 18, 2026",21.51,25.13,21.47,25.09,25.09,-
"Mar 17, 2026",24.56,24.58,21.87,22.37,22.37,-
"Mar 16, 2026",25.88,26.42,23.23,23.51,23.51,-
"Mar 13, 2026",27.85,28.47,24.67,27.19,27.19,-
"Mar 12, 2026",25.48,27.33,24.60,27.29,27.29,-
"Mar 11, 2026",24.90,26.23,23.75,24.23,24.23,-
"Mar 10, 2026",24.39,26.01,22.19,24.93,24.93,-
"Mar 9, 2026",35.12,35.30,24.76,25.50,25.50,-
"Mar 6, 2026",23.20,29.93,22.92,29.49,29.49,-
"Mar 5, 2026",22.11,25.84,20.55,23.75,23.75,-
"Mar 4, 2026",24.39,24.87,20.40,21.15,21.15,-
"Mar 3, 2026",24.57,28.15,22.18,23.57,23.57,-
"Mar 2, 2026",24.66,25.24,20.37,21.44,21.44,-
"Feb 27, 2026",19.28,21.74,18.77,19.86,19.86,-
"Feb 26, 2026",18.07,20.54,17.50,18.63,18.63,-
"Feb 25, 2026",19.59,19.62,17.86,17.93,17.93,-
"Feb 24, 2026",21.24,22.08,19.23,19.55,19.55,-
